,backers_count,category,campaign_duration,goal_in_usd,blurb_length,sub_category,state,usd_pledged
0,93,dance,25,6000.0,20,,1,6509.0
1,0,fashion,60,24282.79,24,jewelry,0,0.0
2,134,fashion,30,325.0,14,jewelry,1,4487.0
3,114,games,45,850000.0,18,gaming hardware,0,21696.0
4,12,film & video,60,10000.0,14,narrative film,0,1113.0
5,3,fashion,30,5000.0,10,jewelry,0,41.0
6,217,film & video,17,3000.0,15,science fiction,1,10887.0
7,112,games,28,518.79,18,gaming hardware,1,7346.620357
8,247,fashion,30,10000.0,19,jewelry,1,15844.0
9,23,fashion,30,64931.65,7,jewelry,0,10649.31652
10,36374,games,30,70000.0,16,video games,1,1639368.8
11,196,dance,60,8327.0,21,workshops,1,14574.0
12,0,dance,44,500.0,19,performances,0,0.0
13,139,games,31,10000.0,24,video games,1,12345.66
14,88,fashion,30,9000.0,19,jewelry,0,4602.0
15,29,film & video,20,500.0,22,narrative film,1,627.0
16,157,dance,60,18284.0,24,performances,1,18372.01411
17,41,dance,21,3250.0,13,,1,3284.55
18,80,fashion,30,2805.52,12,jewelry,1,4096.622166
19,2,dance,34,5000.0,24,performances,0,200.0
20,133,games,30,3995.0,14,tabletop games,1,7450.0
21,137,film & video,33,20000.0,25,narrative film,1,20237.0
22,47,film & video,30,5000.0,21,narrative film,1,5185.0
23,66,film & video,31,10000.0,20,narrative film,1,10005.0
24,69,film & video,30,3047.0,18,narrative film,1,3088.136041
25,23,film & video,30,2000.0,3,narrative film,1,2023.0
26,132,games,30,232.14,9,tabletop games,1,1164.042455
27,2,film & video,30,2500.0,22,science fiction,0,35.0
28,18,fashion,16,400.0,12,jewelry,1,613.0
29,88,film & video,30,11282.22,25,science fiction,1,13634.56879
30,213,film & video,35,12717.0,15,science fiction,1,16010.70262
31,90,film & video,40,15000.0,14,narrative film,1,15148.0
32,19,dance,19,3000.0,19,,1,3260.0
33,159,games,20,4300.0,9,playing cards,1,6583.0
34,17,film & video,30,400.0,28,science fiction,1,1103.2
35,56,games,14,960.0,15,tabletop games,1,985.0
36,56,fashion,30,5000.0,17,jewelry,1,5180.0
37,19,film & video,30,25000.0,14,science fiction,0,1316.0
38,0,dance,33,5000.0,16,performances,0,0.0
39,34,dance,27,1986.82,19,,1,2590.809466
40,4,fashion,30,600.0,16,jewelry,0,95.0
41,109,film & video,17,2801.49,19,science fiction,1,5349.568398
42,55,dance,30,5000.0,20,,1,5000.0
43,3,games,30,2580.85,20,gaming hardware,0,43.87447788
44,2,fashion,30,3000.0,19,jewelry,0,21.0
45,201,film & video,30,10000.0,19,narrative film,1,11617.24
46,20,film & video,19,2000.0,23,narrative film,1,2025.0
47,1,dance,30,70.0,24,performances,1,75.0
48,0,fashion,30,3000.0,22,jewelry,0,0.0
49,60,dance,33,4000.0,19,,1,4260.0
50,31,film & video,30,3800.0,19,narrative film,1,7330.0
51,20,film & video,18,1339.56,14,narrative film,1,1396.357138
52,23,dance,59,1486.07,14,performances,1,1783.2888
53,111,dance,30,20000.0,19,performances,1,20492.0
54,57,games,21,243.54,16,tabletop games,1,1363.223994
55,206,film & video,30,25000.0,11,narrative film,1,30366.23
56,73,fashion,30,1246.78,11,jewelry,1,3168.055995
57,21,film & video,60,2250.0,21,narrative film,1,2285.0
58,162,dance,30,5000.0,21,,1,5300.0
59,97,games,30,1217.4,26,gaming hardware,1,3694.812156
60,48,games,9,606.39,20,tabletop games,1,1028.437262
61,5,fashion,50,24490.9,22,jewelry,0,287.7680233
62,6,games,30,1946.25,20,gaming hardware,0,488.8978147
63,121,dance,60,7000.0,21,performances,1,7441.33
64,10,dance,48,895.11,13,,1,957.7672378
65,43,film & video,32,3000.0,18,narrative film,1,3316.0
66,114,dance,22,20000.0,15,performances,1,20552.0
67,3,fashion,30,3815.8,8,jewelry,0,17.48910504
68,659,games,14,691.83,19,tabletop games,1,27727.19721
69,117,dance,30,8000.0,18,performances,1,8613.0
70,53,fashion,45,1978.52,18,jewelry,1,5215.875164
71,74,film & video,24,4000.0,14,narrative film,1,4086.01
72,124,games,46,6000.0,18,tabletop games,1,6850.0
73,102,games,60,55000.0,19,gaming hardware,0,10841.0
74,258,dance,42,30000.0,18,,1,31127.55
75,127,film & video,31,20000.0,25,narrative film,1,20170.0
76,71,games,30,7500.0,9,tabletop games,1,7522.0
77,13,dance,19,756.82,21,,1,766.6610709
78,1161,games,29,5000.0,14,playing cards,1,77829.0
79,11,film & video,45,200.0,6,narrative film,1,410.0
80,46,dance,31,1959.65,21,,1,2158.040342
81,5,film & video,60,10000.0,20,narrative film,0,396.0
82,34,film & video,48,2500.0,21,narrative film,1,2525.0
83,18,dance,31,500.0,16,workshops,1,806.0
84,138,dance,30,55000.0,19,performances,0,24210.0
85,3,games,30,500.0,21,gaming hardware,0,71.0
86,11,film & video,30,15000.0,8,science fiction,0,1342.0
87,24,dance,40,2000.0,26,performances,1,2039.0
88,698,film & video,34,48000.0,20,science fiction,1,57050.0
89,12,film & video,30,3000.0,16,narrative film,1,3000.0
90,162,fashion,34,27077.29,23,jewelry,1,27831.14594
91,98,film & video,25,10000.0,19,science fiction,1,10536.0
92,2,film & video,60,320.67,23,science fiction,0,28.21938262
93,36,dance,30,1619.33,25,performances,1,2080.219234
94,75,dance,24,5300.0,19,performances,1,5375.0
95,30,dance,29,1000.0,17,performances,1,1030.0
96,27,dance,52,7715.85,19,performances,1,7779.116895
97,147,film & video,35,75000.0,19,narrative film,1,75910.0
98,22792,games,21,100000.0,10,tabletop games,1,2007212.08
99,96,film & video,60,6292.78,15,narrative film,1,6558.990238
100,415,film & video,30,45000.0,23,narrative film,1,45380.0
101,57,film & video,30,3000.0,18,narrative film,1,4450.0
102,2,film & video,14,1800.0,24,romance,0,65.0
103,41,fashion,30,443.17,6,jewelry,1,1529.55537
104,269,games,45,91018.42,19,gaming hardware,0,77532.90062
105,145,dance,31,8000.0,19,performances,1,8286.0
106,299,games,14,600.0,16,tabletop games,1,4657.0
107,187,games,30,1212.61,22,tabletop games,1,5725.940642
108,34,games,15,1378.11,10,tabletop games,1,2122.287875
109,10,fashion,22,600.0,9,jewelry,0,266.0
110,128,games,50,5057.07,19,playing cards,1,7030.086584
111,751,games,14,800.0,22,tabletop games,1,11491.0
112,21,film & video,46,1000.0,22,narrative film,1,1000.19
113,21,dance,30,6050.0,16,,1,6050.0
114,50,dance,20,8041.78,16,,1,8090.029322
115,28,dance,30,1600.0,12,spaces,1,1600.0
116,59,fashion,17,2500.0,24,jewelry,1,5562.0
117,383,games,24,4008.27,19,tabletop games,1,6089.945685
118,35,dance,50,38000.0,16,performances,0,2628.0
119,124,film & video,15,24351.95,15,narrative film,1,24477.55462
120,0,fashion,20,5582.23,19,jewelry,0,0.0
121,52,dance,22,1525.08,22,performances,1,1791.280823
122,19,film & video,15,4604.0,22,narrative film,1,4645.0
123,64,fashion,31,332.66,9,jewelry,1,1568.837222
124,368,games,14,1817.74,15,tabletop games,1,8343.508628
125,367,film & video,30,40000.0,9,narrative film,1,40613.5
126,35,dance,30,2250.0,17,,1,2863.0
127,39,film & video,39,1500.0,23,science fiction,1,1674.0
128,54,dance,27,4000.0,20,performances,1,6151.0
129,1680,games,20,130000.0,10,gaming hardware,1,238498.97
130,29,fashion,25,660.0,22,jewelry,1,663.0
131,25,dance,29,4389.83,20,performances,1,4422.74897
132,107,games,30,1000.0,19,tabletop games,1,5143.0
133,72,dance,31,15000.0,13,,1,15117.0
134,35,dance,30,2000.0,19,performances,1,2180.0
135,226,games,30,8000.0,15,video games,1,21746.0
136,43,film & video,50,8975.79,24,narrative film,0,2128.226615
137,21,film & video,30,1000000.0,26,romance,0,1618.69
138,54,dance,27,4000.0,20,performances,1,6151.0
139,125,film & video,29,25000.0,24,narrative film,1,26032.0
140,13,dance,46,1000.0,20,performances,1,1025.0
141,11,film & video,30,3977.04,23,narrative film,0,379.1444056
142,25,dance,28,1000.0,18,performances,1,1426.0
143,324,film & video,29,50000.0,21,narrative film,1,50081.12
144,39,dance,30,1500.0,20,performances,1,1620.0
145,458,games,14,200.0,11,tabletop games,1,4599.0
146,3,fashion,30,500.0,21,jewelry,0,72.0
147,58,dance,24,2391.0,19,residencies,1,2454.52
148,30,film & video,60,65000.0,14,science fiction,0,2150.0
149,111,dance,30,5000.0,20,performances,1,5335.0
150,445,film & video,30,45000.0,21,narrative film,1,45668.69
151,85,film & video,30,15000.0,21,narrative film,1,15213.11
152,9,fashion,30,795.0,15,jewelry,0,224.0
153,153,games,33,1289.86,20,tabletop games,1,5489.141834
154,7,dance,58,3140.9,6,performances,0,131.9177311
155,0,fashion,30,1000.0,24,jewelry,0,0.0
156,54,dance,39,4000.0,10,performances,1,4066.0
157,1,dance,30,890.97,22,residencies,0,0.8909694
158,19,dance,5,3100.0,17,,1,3207.0
159,21,dance,30,975.87,23,workshops,1,1731.581455
160,11,fashion,30,1000.0,22,jewelry,0,364.0
161,28,film & video,22,1000.0,22,narrative film,1,1120.0
162,102,film & video,40,7500.0,16,narrative film,1,14500.0
163,72,dance,30,5500.0,20,performances,1,6826.0
164,75,dance,30,5500.0,19,,1,5735.0
165,114,dance,22,20000.0,15,performances,1,20552.0
166,71,fashion,31,1064.86,16,jewelry,1,2781.937366
167,22,dance,25,2999.0,16,performances,1,3053.0
168,22,dance,7,1000.0,20,,1,1439.0
169,1,fashion,30,2786.59,6,jewelry,0,9.2886216
170,91,film & video,25,2700.0,21,narrative film,1,5270.0
171,14,fashion,21,235.82,8,jewelry,1,426.833943
172,199,dance,30,10000.0,20,performances,1,10511.0
173,40,film & video,20,1500.0,19,narrative film,1,1520.0
174,57,film & video,28,7000.0,27,science fiction,1,8070.0
175,0,fashion,15,953.16,7,jewelry,0,0.0
176,44,dance,30,3000.0,17,performances,1,3094.0
177,3,fashion,30,8000.0,20,jewelry,0,7.0
178,103,games,30,5000.0,15,tabletop games,1,7917.0
179,103,dance,31,3000.0,19,workshops,1,6490.0
180,522,games,14,800.0,4,tabletop games,1,8253.0
181,194,film & video,34,18000.0,17,narrative film,1,18218.0
182,71,dance,45,4200.0,17,performances,1,4220.0
183,48,games,15,363.96,7,color,1,4638.082753
184,21,fashion,30,5000.0,22,jewelry,0,856.0
185,45,dance,60,1200.0,21,performances,1,2544.0
